,id,createdTime,fields.Unnamed: 0,fields.index,fields.city_name,fields.iata_code,fields.gmt,fields.timezone,fields.latitude,fields.longitude
89,rec0dCb3wnO6iLznS,2024-07-21T16:13:01.000Z,1311,8431,Carleton,XON,-5,America/Montreal,46.7001,-64.1487
90,rec0dUxwIJ7Appotp,2024-07-21T16:20:55.000Z,7830,7285,Tezpur,TEZ,5.30,Asia/Kolkata,26.710833,92.79611
91,rec0dYU8Swrs2pfod,2024-07-21T16:14:35.000Z,2648,2512,Giyani,GIY,2,Africa/Johannesburg,-23.283333,30.666668
92,rec0dbIaWYosR6eDT,2024-07-21T16:20:03.000Z,7130,6871,Seno,SND,7,Asia/Vientiane,16.666668,105.01667
93,rec0dtZE8arr41qzq,2024-07-21T16:13:37.000Z,1796,1453,Culebra,CPX,-4,America/Puerto_Rico,18.3,-65.316666
94,rec0exIZQV5YPxmMi,2024-07-21T16:11:36.000Z,133,227,Albenga,ALL,1,Europe/Rome,44.05,8.216667
95,rec0f57UQXADegGic,2024-07-21T16:16:52.000Z,4560,4624,Maiduguri,MIU,1,Africa/Lagos,11.844167,13.068056
96,rec0fIGXsOvRQRwz5,2024-07-21T16:18:21.000Z,5753,5459,Orland,OLA,1,Europe/Oslo,63.7,9.616667
97,rec0g4qPJCTV0m9Dj,2024-07-21T16:13:57.000Z,2081,3397,Duqm,JNJ,4,Asia/Muscat,19.49653,57.62861
98,rec0gDyE6tNUBs9oN,2024-07-21T16:16:25.000Z,4186,4288,Lathrop,LRO,-8,America/Los_Angeles,39.55,-94.333336
99,rec0hD1MumElQKALV,2024-07-21T16:18:22.000Z,5768,5565,Osan,OSN,9,Asia/Seoul,37.083332,127.03333
100,rec0iRpytjQn0XbmX,2024-07-21T16:18:36.000Z,5962,6045,Pato Branco,PTO,-3,America/Sao_Paulo,-26.216667,-52.666668
101,rec0irg1YGXVM2O7P,2024-07-21T16:19:37.000Z,6809,6837,Salida,SLT,-7,America/Denver,38.533333,-106
102,rec0izSRnjLhzQctZ,2024-07-21T16:11:49.000Z,323,487,Anthony Lagoon,AYL,9.30,Australia/Darwin,-18.033333,135.53334
103,rec0jHsR3a2KOGopE,2024-07-21T16:16:05.000Z,3918,3768,Kontum,KON,7,Asia/Ho_Chi_Minh,14.354167,108.021385
104,rec0lmIpbJY7Ggjkk,2024-07-21T16:16:34.000Z,4309,4362,Lime Village,LVD,-9,America/Anchorage,61.35,-155.46666
105,rec0mr9fzULykuQBR,2024-07-21T16:20:50.000Z,7766,7621,Taylor,TWE,-9,America/Anchorage,65.73333,-164.85
106,rec0n8ijNeZk9YzZr,2024-07-21T16:18:42.000Z,6059,7114,Philipsburg,SXM,-4,America/Lower_Princes,18.044722,-63.11406
107,rec0nZUtQKHjKm2O0,2024-07-21T16:19:48.000Z,6932,5107,Sandstone,NDS,8,Australia/Perth,-27.983334,119.3
108,rec0njCXwA9HtmUs8,2024-07-21T16:15:37.000Z,3545,3376,Kalymnos Island,JKL,2,Europe/Athens,36.963333,26.940556
109,rec0nt38ZobJa5gPH,2024-07-21T16:13:51.000Z,2000,1746,Djougou,DJA,1,Africa/Porto-Novo,9.7,1.666667
110,rec0o0K32Vg8eQS3d,2024-07-21T16:17:32.000Z,5119,8571,Moose Lake,YAD,-6,America/Winnipeg,50.38333,-105.53333
111,rec0oqXQbuFmXhps7,2024-07-21T16:12:50.000Z,1169,3655,Burqin,KJI,8,Asia/Shanghai,48.22167,86.99611
112,rec0rTh1Tuy6zotTM,2024-07-21T16:18:23.000Z,5789,8848,Ottawa,YOW,-5,America/Toronto,45.411572,-75.698194
113,rec0sAFpxIYU2Rrb1,2024-07-21T16:15:19.000Z,3297,3146,Iron Mountain,IMT,-6,America/Menominee,45.815556,-88.11417
114,rec0sg7XJcaSWjfQa,2024-07-21T16:20:39.000Z,7627,7357,Tacoma,TIW,-8,America/Los_Angeles,47.252877,-122.444291
115,rec0sgaS7XwBeeXMI,2024-07-21T16:19:43.000Z,6879,6786,San Jose,SJS,-4,America/La_Paz,-17.827223,-60.738335
116,rec0su11b28jWCqOS,2024-07-21T16:17:09.000Z,4792,4855,Masirah,MSH,4,Asia/Muscat,20.680555,58.891666
117,rec0tH82KwNtoO8Zm,2024-07-21T16:20:18.000Z,7339,6908,Soderhamn,SOO,1,Europe/Stockholm,61.3,17.05
118,rec0tRrkAahQoqRDG,2024-07-21T16:16:00.000Z,3853,3960,Kitzingen,KZG,1,Europe/Berlin,49.733334,10.15
119,rec0tg7gGGRiBMz0C,2024-07-21T16:14:08.000Z,2251,2080,Ernabella,ERB,9.30,Australia/Adelaide,-26.283333,132.11667
120,rec0tnDsg9DFP38Ts,2024-07-21T16:19:13.000Z,6478,6379,Rajahmundry,RJA,5.30,Asia/Kolkata,17.109638,81.82081
121,rec0toBmA6I7RcnV6,2024-07-21T16:12:46.000Z,1101,1021,Brownwood,BWD,-6,America/Chicago,31.794722,-98.956665
122,rec0u1KQnMdONyzig,2024-07-21T16:13:03.000Z,1343,1245,Casiguran,CGG,8,Asia/Manila,16.083332,122.01667
123,rec0u89ACenzD5LkN,2024-07-21T16:18:39.000Z,6000,5870,Pellston,PLN,-5,America/Detroit,45.57083,-84.79278
124,rec0utWnaQGjlOVNX,2024-07-21T16:15:18.000Z,3274,3284,Inyokern,IYK,-8,America/Los_Angeles,35.656666,-117.82917
